Date,Campaign,AdWords Campaign ID,Sessions,Clicks,Cost,Impressions,Transactions,Revenue,Quantity,HotelName
20161104,DV Oxford Thames Brand [WW-UK] (S) ^KW *AD,685510703,7,8,8.03,117,0,0,0,De Vere Oxford Thames
20161104,DV Wokefield Estate Brand [UK] (S) ^KW ^RLSA-B *AD,692789755,7,7,3.41,61,0,0,0,De Vere Wokefild Estate
20161106,DV Selsdon Estate General [UK] (S) ^KW *AD,685552044,7,7,21.42,359,0,0,0,De Vere Selsdon Estate
20161106,Principal Edinburgh [UK] (C) ^REM *NM,693220971,7,8,2.85,1690,0,0,0,The Principal Edinburgh George…
20161107,DV Cotswold Water Park Brand [WW-UK] (S) ^KW *AD,685552281,7,8,4.42,100,0,0,0,De Vere Cotswold Water Park
20161107,DV Selsdon Estate General [UK] (S) ^KW *AD,685552044,7,9,27.88,436,0,0,0,De Vere Selsdon Estate
20161107,DV Wokefield Estate General [UK] (S) ^KW ^RLSA-B *AD,692789758,7,7,11.13,811,0,0,0,De Vere Wokefield Estate
20161108,DV Wokefield Estate General [UK] (S) ^KW ^RLSA-B *AD,692789758,7,7,7.73,684,0,0,0,De Vere Wokefield Estate
20161102,DV Cotswold Water Park General [UK] (S) ^KW *AD,685552287,6,6,1.59,501,0,0,0,De Vere Cotswold Water Park
20161104,BMT Beaumont Estate Brand [UK] (S) ^KW ^RLSA-B *AD,160014634,6,0,0,0,0,0,0,De Vere Beaumont Estate
20161104,DV Cotswold Water Park Brand [WW-UK] (S) ^KW *AD,685552281,6,7,2.6,80,0,0,0,De Vere Cotswold Water Park
20161104,zZz ROY Royal York Brand [UK] (S) ^KW ^RLSA-B *AD,159522754,6,0,0,0,0,0,0,The Principal York
20161105,PHB Principal Brand [WW-UK] (S) ^KW ^RLSA-B *AD,692255215,6,7,9.46,217,0,0,0,Principal
20161107,PHB Principal Hayley Brand [WW-UK] (S) ^KW ^RLSA-B *AD,692715556,6,6,5.98,51,0,0,0,Principal
20161108,DV Wotton House [UK] (C) ^REM *NM,685552212,6,4,4.82,2836,0,0,0,De Vere Wotton House
20161102,DV Wotton House Brand [UK] (S) ^KW ^RLSA-B *AD,685552224,5,5,1.1,27,0,0,0,De Vere Wotton House
20161102,zZz PAL Palace POI [UK] (S) ^KW *AD,259267714,5,5,3.29,196,0,0,0,The Principal Manchester
20161103,CRG Cranage Hall Brand [UK] (S) ^KW ^RLSA-B *AD,160000234,5,0,0,0,0,0,0,De Vere Cranage Estate
20161103,DV Devonport House General [UK] (S) ^KW ^RLSA-B *AD,692789734,5,5,5.49,470,0,0,0,De Vere Devonport House
20161104,Principal York [UK] (C) ^REM *NM,693220992,5,5,1.83,578,0,0,0,The Principal York
20161105,DV Tortworth Estate Brand [WW-UK] (S) ^KW *AD,685552293,5,5,1.97,28,0,0,0,De Vere Tortworth Estate
20161107,DV Tortworth Estate General [UK] (S) ^KW *AD,685510694,5,6,11.01,352,0,0,0,De Vere Tortworth Estate
20161107,PHB Principal Brand [WW-UK] (S) ^KW ^RLSA-B *AD,692255215,5,7,4.51,455,0,0,0,Principal
20161108,DV Oxford Thames Brand [WW-UK] (S) ^KW *AD,685510703,5,4,2.27,85,0,0,0,De Vere Oxford Thames
20161108,DV Tortworth Estate General [UK] (S) ^KW *AD,685510694,5,6,10.91,318,0,0,0,De Vere Tortworth Estate
20161102,DV Oxford Thames General [UK] (S) ^KW *NM,685510706,4,4,1.88,437,0,0,0,De Vere Oxford Thames
20161102,ROX The Roxburghe Hotel Brand [UK] (S) ^KW *AD,259244434,4,0,0,0,0,0,0,The Roxburghe
20161102,zZz GCE Grand Central Brand [UK] (S) ^KW ^RLSA-B *AD,160000594,4,0,0,0,0,0,0,Grand Central Hotel
20161103,DV Tortworth Estate Brand + City [UK] (S) ^KW *AD,685510691,4,4,5.97,57,0,0,0,De Vere Tortworth Estate
20161103,SLD Selsdon Park & Golf Brand [UK] (S) ^KW ^RLSA-B *AD,160014514,4,0,0,0,0,0,0,De Vere Selsdon Estate
20161103,zZz PAL Palace POI [UK] (S) ^KW *AD,259267714,4,5,3.15,193,0,0,0,The Principal Manchester
20161103,zZz WOK DV Wokefield Estate General [UK] (S) ^KW ^RLSA-B *AD,681159796,4,5,9.59,268,0,0,0,De Vere Wokefield Estate
20161104,DV Alexandra House General [UK] (S) ^KW *AD,685552230,4,4,5.47,236,0,0,0,De Vere Alexandra House
20161104,DV Beaumont Estate General [UK] (S) ^KW *AD,685552038,4,4,6.18,359,0,0,0,De Vere Beaumont Estate
20161108,PHB Principal Brand [WW-UK] (S) ^KW ^RLSA-B *AD,692255215,4,5,2.05,375,0,0,0,Principal
20161108,PHB Principal Hayley Brand [WW-UK] (S) ^KW ^RLSA-B *AD,692715556,4,4,1.35,39,0,0,0,Principal
20161102,DV Tortworth Estate Brand [UK] (S) ^KW *AD,685552290,3,4,0.61,56,0,0,0,De Vere Tortworth Estate
20161102,ETT Ettington Chase Brand [UK] (S) ^KW ^RLSA-B *AD,160000114,3,0,0,0,0,0,0,Ettington Chase
20161102,zZz Brand De Vere [UK] (S) ^KW ^RLSA-B *AD,257113607,3,3,0.34,10,0,0,0,De Vere
20161102,"zZz Milton Hill, Abington Brand [UK] (S) ^KW ^RLSA-B *AD",257115407,3,0,0,0,0,0,0,Milton Hill
20161103,Principal Edinburgh General [UK] (S) ^KW RLSA-B *AD,693220974,3,3,0.39,268,0,0,0,The Principal Edinburgh George…
20161103,zZz GCE Grand Central Brand [UK] (S) ^KW ^RLSA-B *AD,160000594,3,0,0,0,0,0,0,Grand Central Hotel
20161103,zZz GRG The George PH Brand + City [UK] (S) ^KW ^RLSA-B *AD,183673714,3,1,0.25,2,0,0,0,The Principal Edinburgh George…
20161104,DV Devonport House - All Visitors [UK] ^REM *NM,692789728,3,6,0.81,337,0,0,0,De Vere Devonport House
