Date,Campaign,AdWords Campaign ID,Sessions,Clicks,Cost,Impressions,Transactions,Revenue,Quantity,HotelName
20161106,ETT Ettington Chase Brand [UK] (S) ^KW ^RLSA-B *AD,160000114,1,0,0,0,0,0,0,Ettington Chase
20161106,SLD Selsdon Park & Golf Brand [UK] (S) ^KW ^RLSA-B *AD,160014514,1,0,0,0,0,0,0,De Vere Selsdon Estate
20161106,"zZz Denham Grove, Uxbridge Brand [UK] (S) ^KW ^RLSA-B *AD",257113967,1,0,0,0,0,0,0,Denham Grove
20161106,zZz GRG The George Brand [UK] (S) ^KW ^RLSA-B *AD,160000474,1,0,0,0,0,0,0,The Principal Edinburgh George…
20161106,zZz GRG The George PH Brand + City [UK] (S) ^KW ^RLSA-B *AD,183673714,1,0,0,0,0,0,0,The Principal Edinburgh George…
20161106,zZz WOK DV Wokefield Estate General [UK] (S) ^KW ^RLSA-B *AD,681159796,1,0,0,0,0,0,0,De Vere Wokefield Estate
20161107,ROX The Roxburghe Hotel Brand [UK] (S) ^KW *AD,259244434,1,0,0,0,0,0,0,The Roxburghe
20161107,"zZz Denham Grove, Uxbridge Brand [UK] (S) ^KW ^RLSA-B *AD",257113967,1,0,0,0,0,0,0,Denham Grove
20161107,zZz DEV DV Devonport House Brand [UK] (S) ^KW ^RLSA-B *AD,257114207,1,0,0,0,0,0,0,De Vere Devonport House
20161107,zZz GCE Grand Central Brand [UK] (S) ^KW ^RLSA-B *AD,160000594,1,0,0,0,0,0,0,Grand Central Hotel
20161107,zZz GRG The George Brand [UK] (S) ^KW ^RLSA-B *AD,160000474,1,0,0,0,0,0,0,The Principal Edinburgh George…
