CLYDE TRAVEL LTD,902757,TA,,,,
Collette Vacations,4363433,TA,,,,
COLPITTS WORLD TRAVEL LTD,438631,TA,,,,
Complete Event Solutions,196870,TA,,,,
Conference Call,3259803,TA,,,,
Conference Care,184902,TA,,,,
Conference Centres of Excellence,1023768,TA,,,,
Conference Co-ordination,184904,TA,,,,
Conference Search,191084,TA,,,,
Conferences Group,3283479,TA,,,,
CONFERENCES UK LIMITED,4394558,TA,,,,
Co-operative Travel,1315627,TA,,,,
Co-operative Travel,1538061,TA,,,,
Co-operative Travel,430976,TA,,,,
Co-operative Travel,4488138,TA,,,,
Co-operative Travel,820043,TA,,,,
Co-operative Travel Management,204368,TA,,,,
CORPORATE & SPORTING EVENTS,1441178,TA,,,,
CTI Hotels,191108,TA,,,,
CWT BELGIUM SPRL,507345,TA,,,,
CWT FRANCE SAS,521294,TA,,,,
CWT FRANCE SAS,764422,TA,,,,
Cynergy,762373,TA,,,,
Dawson Travel Ltd,5609369,TA,,,,
De Vere Solutions,160979,TA,,,,
DEEHURST LTD,567635,TA,,,,
Distinguished Destinations,549626,TA,,,,
DOREEN V MCKENZIE,498714,TA,,,,
Duvia Tourism LLC,22404056,TA,,,,
E & P ENTERPRISES INC.,196115,TA,,,,
Easy Breaks,434561,OTA,,,,
"Ellen Michaels Presents, Inc",7225424,TA,,,,
Ellis Salsby,169067,TA,,,,
EQUILIBRIUM TRAVEL MANAGEMENT,5103755,TA,,,,
Essential Hotels,168636,OTA,,,,
ET Travel,2097001,TA,,,,
ETT Conferences,7837552,TA,,,,
European Poker Tour Hotels,5639030,TA,,,,
Exclusively Hotels/TotalStay Group,438495,TA,,,,
Execspace,476180,TA,,,,
Expedia,161428,OTA,,,,
EXPEDIA INCORPORATED,430857,OTA,,,,
Expotel,417151,TA,,,,
Expotel,659573,TA,,,,
Expotel Hotel Reservations,690037,TA,,,,
FC USA INC.,7165979,TA,,,,
FCM TRAVEL SOLUTIONS,671819,TA,,,,
Find Me A Conference,184941,TA,,,,
First4Venues,2867455,TA,,,,
FLIGHT CENTRE (UK) LTD,1518999,TA,,,,
FLIGHT CENTRE (UK) LTD,2765786,TA,,,,
FLIGHT CENTRE (UK) LTD,2776116,TA,,,,
FLIGHT CENTRE (UK) LTD,491410,TA,,,,
FLIGHT CENTRE (UK) LTD,502386,TA,,,,
FLIGHT CENTRE (UK) LTD,507115,TA,,,,
Flight Delay Services,476103,TA,,,,
FLIGHTLINE TRAVEL MANAGEMENT LTD,2082014,TA,,,,
Furlongs Travel,3368084,TA,,,,
Giant Leap Events,1007285,TA,,,,
GILES TRAVEL LTD,469351,TA,,,,
Global Adventure Challenges,2992877,TA,,,,
Golfbreaks Ltd,206761,FIT,,,,
GOOD TRAVEL MANAGEMENT LTD,584558,TA,,,,
Grass Roots,4883653,TA,,,,
Grass Roots Group,184946,TA,,,,
GRAY DAWES TRAVEL LTD,1238066,TA,,,,
Great Rail Journeys Ltd,461032,TA,,,,
Groupon,3563289,Deal,,,,
GTA,2611004,FIT,,,,
Gullivers Travel Associates,168365,FIT,,,,
HEWLETT PACKARD COMPANY,434667,TA,,,,
HILLGATE TRAVEL LIMITED,515397,TA,,,,
HOGG ROBINSON (TRAVEL) LTD,162191,TA,,,,
HOGG ROBINSON (TRAVEL) LTD,711614,TA,,,,
HOGG ROBINSON (TRAVEL) LTD,7563017,TA,,,,
HOGG ROBINSON FRANCE SA,2632291,TA,,,,
HOGG ROBINSON FRANCE SA,531623,TA,,,,
HOGG ROBINSON ITALIA SPA,938196,TA,,,,
HOGG ROBINSON SWITZERLAND LTD,1573675,TA,,,,
Holiday Extras,184949,FIT,,,,
Hospitality Guaranteed,419563,TA,,,,
Hospitality Line Ltd,460622,TA,,,,
HOTEL CONNECTIONS LTD,3010829,OTA,,,,
Hotel Connexions,193296,OTA,,,,
Hotel Direct - Payables,168366,OTA,,,,
Hotel Finder Ltd,3058983,TA,,,,
HOTEL.DE AG,525538,OTA,,,,
Hotelbeds,473156,FIT,,,,
Hotelbeds - Trina Tours,1067895,FIT,,,,
Hoteligent,2173037,TA,,,,
